Index,File,Ext,Lines,Imports,Exports,FunctionSites,BrowserGlobalRefs,FindingCount,MaxScore,TopFinding,EvidenceLine,RequiredHardFix
1,bobercad/app/engine/api/api-register.json,.json,938,0,0,2,0,0,0,none,,
2,bobercad/app/engine/api/geometry/paths.mjs,.mjs,315,1,6,49,0,0,0,none,,
3,bobercad/app/engine/api/interaction/snap-solver.mjs,.mjs,640,1,1,65,0,0,0,none,,
4,bobercad/app/engine/api/model/checks.mjs,.mjs,201,2,1,19,0,0,0,none,,
5,bobercad/app/engine/api/model/compliance.mjs,.mjs,167,3,3,23,0,0,0,none,,
6,bobercad/app/engine/api/model/connection-primitive-manifest.mjs,.mjs,43,10,2,3,0,0,0,none,,
7,bobercad/app/engine/api/model/connection-primitive-registry.mjs,.mjs,83,0,4,14,0,0,0,none,,
8,bobercad/app/engine/api/model/connection-primitives/cuts/support-flange-clearance.mjs,.mjs,147,2,1,5,0,0,0,none,,
9,bobercad/app/engine/api/model/connection-primitives/fasteners/secondary-web-bolting.mjs,.mjs,298,3,1,21,0,0,0,none,,
10,bobercad/app/engine/api/model/connection-primitives/plates/base-plate.mjs,.mjs,134,1,1,2,0,0,0,none,,
11,bobercad/app/engine/api/model/connection-primitives/plates/dual-member-gusset.mjs,.mjs,269,2,1,9,0,0,0,none,,
12,bobercad/app/engine/api/model/connection-primitives/plates/member-end-plate.mjs,.mjs,153,1,1,1,0,0,0,none,,
13,bobercad/app/engine/api/model/connection-primitives/plates/secondary-web-plate.mjs,.mjs,103,1,1,5,0,0,0,none,,
14,bobercad/app/engine/api/model/connection-primitives/shared/secondary-web-context.mjs,.mjs,99,2,2,3,0,0,0,none,,
15,bobercad/app/engine/api/model/connection-primitives/shared/validation.mjs,.mjs,59,0,10,12,0,0,0,none,,
16,bobercad/app/engine/api/model/connection-primitives/stiffeners/support-web-stiffeners.mjs,.mjs,112,2,1,5,0,0,0,none,,
17,bobercad/app/engine/api/model/connection-primitives/trims/secondary-member-gap-trim.mjs,.mjs,41,1,1,1,0,0,0,none,,
18,bobercad/app/engine/api/model/connection-primitives/welds/support-edge-fillet.mjs,.mjs,57,2,1,5,0,0,0,none,,
19,bobercad/app/engine/api/model/geometry.mjs,.mjs,239,4,1,22,0,0,0,none,,
20,bobercad/app/engine/api/model/semantic-builders.mjs,.mjs,554,2,1,30,0,0,0,none,,
21,bobercad/app/engine/api/model/smart-component-parameter-values.mjs,.mjs,391,2,15,52,0,0,0,none,,
22,bobercad/app/engine/api/model/solver-result.mjs,.mjs,124,1,5,15,0,0,0,none,,
23,bobercad/app/engine/api/model/transport-sectioning.mjs,.mjs,234,7,5,35,0,0,0,none,,
24,bobercad/app/engine/api/model/trim-region-keys.mjs,.mjs,67,0,4,12,0,0,0,none,,
25,bobercad/app/engine/api/project/axis-relations.mjs,.mjs,243,3,9,28,0,0,0,none,,
26,bobercad/app/engine/api/project/datums.mjs,.mjs,173,2,13,26,0,0,0,none,,
27,bobercad/app/engine/api/project/dependencies.mjs,.mjs,277,3,17,45,0,0,0,none,,
28,bobercad/app/engine/api/project/member-factory.mjs,.mjs,251,3,2,24,0,0,0,none,,
29,bobercad/app/engine/api/project/members.mjs,.mjs,140,1,12,16,0,0,0,none,,
30,bobercad/app/engine/api/project/objects.mjs,.mjs,149,0,7,23,0,0,0,none,,
31,bobercad/app/engine/api/project/plate-sketch-relations-and-bends.mjs,.mjs,91,0,7,0,0,0,0,none,,
32,bobercad/app/engine/api/project/plate-sketch/bend-normalization.mjs,.mjs,74,4,3,5,0,0,0,none,,
33,bobercad/app/engine/api/project/plate-sketch/bends.mjs,.mjs,57,4,2,9,0,0,0,none,,
34,bobercad/app/engine/api/project/plate-sketch/model-accessors.mjs,.mjs,11,1,8,8,0,0,0,none,,
35,bobercad/app/engine/api/project/plate-sketch/model-and-placement.mjs,.mjs,130,4,7,9,0,0,0,none,,
36,bobercad/app/engine/api/project/plate-sketch/relation-analysis.mjs,.mjs,748,3,11,67,0,0,0,none,,
